图片名称,年龄,性别,肤色,发色,左眼色,右眼色,情绪,预测结果
photo_1.jpg,27,Woman,white,neutral,tan,darkolivegreen,gray,"{'age': 27, 'region': {'x': 0, 'y': 0, 'w': 218, 'h': 300, 'left_eye': None, 'right_eye': None}, 'face_confidence': 0, 'gender': {'Woman': 99.99951124191284, 'Man': 0.0004933167474518996}, 'dominant_gender': 'Woman', 'race': {'asian': 1.2884009629487991, 'indian': 0.9737941436469555, 'black': 0.12526781065389514, 'white': 62.41587996482849, 'middle eastern': 9.964202344417572, 'latino hispanic': 25.232455134391785}, 'dominant_race': 'white', 'emotion': {'angry': 0.0012725888154818676, 'disgust': 9.869662841516182e-14, 'fear': 5.883487119717756e-05, 'happy': 7.131665036297363e-07, 'sad': 0.31143350061029196, 'surprise': 7.701838299067898e-10, 'neutral': 99.68723654747009}, 'dominant_emotion': 'neutral', 'hair_eyes_color': {'left_eye_color': {'rgb': array([220, 179, 158]), 'web_color': 'tan'}, 'right_eye_color': {'rgb': array([87, 56, 42]), 'web_color': 'darkolivegreen'}, 'hair_color': {'rgb': array([156, 114,  88]), 'web_color': 'gray'}}}"
photo_2.jpg,23,Man,white,neutral,rosybrown,dimgray,gray,"{'age': 23, 'region': {'x': 27, 'y': 63, 'w': 275, 'h': 275, 'left_eye': (229, 178), 'right_eye': (101, 161)}, 'face_confidence': 0.92, 'gender': {'Woman': 0.02359901845920831, 'Man': 99.97640252113342}, 'dominant_gender': 'Man', 'race': {'asian': 0.023855599283706397, 'indian': 0.12534476118162274, 'black': 0.005850952584296465, 'white': 70.6092894077301, 'middle eastern': 10.173197835683823, 'latino hispanic': 19.06246393918991}, 'dominant_race': 'white', 'emotion': {'angry': 0.029067046125419438, 'disgust': 8.909792015288076e-07, 'fear': 8.984316885471344, 'happy': 0.729498453438282, 'sad': 0.2699220320209861, 'surprise': 0.0006493046385003254, 'neutral': 89.9865448474884}, 'dominant_emotion': 'neutral', 'hair_eyes_color': {'left_eye_color': {'rgb': array([190, 143, 119]), 'web_color': 'rosybrown'}, 'right_eye_color': {'rgb': array([124,  87,  71]), 'web_color': 'dimgray'}, 'hair_color': {'rgb': array([164, 127, 104]), 'web_color': 'gray'}}}"
